-8	293.03
-7.9	448.55
-7.8	259.9
-7.7	257.94
-7.6	274.72
-7.5	362.18
-7.4	224.7
-7.3	312.16
-7.2	306.83
-7.1	278.21
-7	295.82
-6.9	164.63
-6.8	307.13
-6.7	234.57
-6.6	267.9
-6.5	138.28
-6.4	201.24
-6.3	249.66
-6.2	249.99
-6.1	164.02
-6	31.253
-5.9	75.448
-5.8	158.9
-5.7	190.72
-5.6	159.22
-5.5	75.741
-5.4	267.71
-5.3	107.79
-5.2	155.59
-5.1	58.326
-5	1.9543
-4.9	120.69
-4.8	138.24
-4.7	186.18
-4.6	14.771
-4.5	-68.833
-4.4	151.81
-4.3	50.715
-4.2	-52.9
-4.1	-19.217
-4	-42.619
-3.9	89.495
-3.8	44.047
-3.7	14.117
-3.6	8.6334
-3.5	-70.88
-3.4	51.118
-3.3	0.97263
-3.2	-46.279
-3.1	-45.505
-3	-44.121
-2.9	-103.37
-2.8	6.4964
-2.7	48.08
-2.6	119.97
-2.5	-21.601
-2.4	-117.97
-2.3	-49.706
-2.2	-137.49
-2.1	-113
-2	-119.13
-1.9	-134.1
-1.8	-51.927
-1.7	-158.95
-1.6	-36.493
-1.5	-29.702
-1.4	-14.776
-1.3	-90.705
-1.2	-47.673
-1.1	33.639
-1	-90.29
-0.9	-107.73
-0.8	27.674
-0.7	-272.99
-0.6	-130.16
-0.5	71.251
-0.4	-132.4
-0.3	-139
-0.2	-185.85
-0.1	-44.568
0	-247.7
0.1	-155.73
0.2	-59.712
0.3	-98.976
0.4	-54.525
0.5	-88.524
0.6	-48.739
0.7	-185.39
0.8	-78.734
0.9	-202.23
1	-36.17
1.1	-111.01
1.2	-41.527
1.3	-123
1.4	-60.195
1.5	-7.09
1.6	-216.98
1.7	-206.49
1.8	-201.26
1.9	-10.674
2	-38.637
2.1	-112.95
2.2	44.533
2.3	-47.229
2.4	-164.28
2.5	-120.72
2.6	-142.37
2.7	25.567
2.8	-79.078
2.9	-114.61
3	-68.398
3.1	-81.825
3.2	41.308
3.3	20.038
3.4	12.962
3.5	26.229
3.6	5.6082
3.7	-58.195
3.8	51.913
3.9	-37.554
4	-49.033
4.1	-42.961
4.2	99.469
4.3	113.8
4.4	-71.318
4.5	48.258
4.6	83.236
4.7	29.998
4.8	133.27
4.9	105.24
5	84.302
5.1	63.706
5.2	157.99
5.3	178.08
5.4	159.65
5.5	118.34
5.6	208.07
5.7	88.743
5.8	171.11
5.9	267.67
6	165.72
6.1	129.16
6.2	333.64
6.3	189.84
6.4	247.71
6.5	170.37
6.6	256.73
6.7	279.42
6.8	257.32
6.9	290.25
7	362.32
7.1	190.44
7.2	313.99
7.3	171.24
7.4	323.79
7.5	468.26
7.6	410.48
7.7	355.74
7.8	344.32
7.9	416.9
8	465.98
8.1	405.26
8.2	529.63
8.3	372.02
8.4	301.96
8.5	402.25
8.6	453.65
8.7	454.63
8.8	434.68
8.9	601.03
9	407.86
9.1	500.3
9.2	480.75
9.3	529.44
9.4	530.17
9.5	624.61
9.6	532.73
9.7	562.78
9.8	642.08
9.9	725.8
10	535.18
10.1	806.21
10.2	634.11
10.3	756.47
10.4	800.27
10.5	835.24
10.6	722.38
10.7	776.43
10.8	779.63
10.9	765.03
11	843.02
11.1	865.83
11.2	832.94
11.3	883.89
11.4	1079
11.5	908.6
11.6	976.32
11.7	911.85
11.8	925.05
11.9	955.72
12	1037.5
